Region,Farm,Codfrm,Date,Latitude,Longitude,Elevation,Collector,Order,Family,Tribe,Genus,Species,Codsp,Common name,Abundance,Report
Los Santos,Oscar Navarro,OSCNAV,2021-04-23T00:00:00Z,9.631315,-84.021575,1480,R. Montoya,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1,6
Los Santos,Oscar Navarro,OSCNAV,2021-04-23T00:00:00Z,9.631315,-84.021575,1480,M.Jimenez,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1,6
Los Santos,Otoniel Picado,OTOPIC,2021-04-23T00:00:00Z,9.646235,-84.011563,1432,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",6,6
Los Santos,Otoniel Picado,OTOPIC,2021-04-23T00:00:00Z,9.646235,-84.011563,1432,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",11,6
Los Santos,Otoniel Picado,OTOPIC,2021-04-23T00:00:00Z,9.646235,-84.011563,1432,A. Zuñiga,Hymenoptera,Halictidae,Unknown,Unknown,Unknown,HLCSPP,Unknown,1,6
Los Santos,Otoniel Picado,OTOPIC,2021-04-23T00:00:00Z,9.646235,-84.011563,1432,NA,Diptera,Unknown,Unknown,Unknown,Unknown,DIPSPP,Unknown,1,6
Los Santos,Rafael Naranjo Abarca,RAFNAR,2021-04-23T00:00:00Z,9.63114167,-84.01707,1556,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",9,6
Los Santos,Rafael Naranjo Abarca,RAFNAR,2021-04-23T00:00:00Z,9.63114167,-84.01707,1556,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2,6
Los Santos,Walter Blanco Corella 2,WALBLA,2021-03-30T00:00:00Z,9.6443294,-84.0680504,1641,B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1,5
Los Santos,Walter Blanco Corella 2,WALBLA,2021-03-30T00:00:00Z,9.6443294,-84.0680504,1641,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",14,5
Los Santos,Walter Blanco Corella 2,WALBLA,2021-03-30T00:00:00Z,9.6443294,-84.0680504,1641,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,5
Los Santos,Wilberth Gamboa Garro,WILGAM,2021-04-01T00:00:00Z,9.652055,-84.031784,1417,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",5,6
Los Santos,Wilberth Gamboa Garro,WILGAM,2021-04-01T00:00:00Z,9.652055,-84.031784,1417,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",2,6
Los Santos,Wilberth Gamboa Garro,WILGAM,2021-04-01T00:00:00Z,9.652055,-84.031784,1417,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",7,6
Los Santos,Yohan Mora,YOHMOR,2021-03-31T00:00:00Z,9.6796883,-84.005025,1607,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4,6
Los Santos,Yohan Mora,YOHMOR,2021-03-31T00:00:00Z,9.6796883,-84.005025,1607,B. Cordero,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1,6
Los Santos,Yohan Mora,YOHMOR,2021-03-31T00:00:00Z,9.6796883,-84.005025,1607,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4,6
